StateWellNumber,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Aquifer,FN_ID
625502,35.561112,-101.927222,0.8,Loam,290,1,2,3,762,991,1219,0,33.5,0,25,30,35,0.5,0.75,1,4,9,14,0.14,0.17,0.19,0,39,0,28,34,40,12,17,22,0.32,0.32,0,0,0,7.4,7.6,7.8,476.191986,14.32,Dockum,3222
641102,35.3525,-101.991667,0.6,Silty clay,165,5,9,12,305,534,762,0,22.1,0,40,50,60,0.1,0.55,1,0.01,0.21,0.42,0.1,0.13,0.15,0,37,0,38,49,60,20,30,40,0.24,0.24,0,1,2,7.9,8.2,8.4,479.417999,14.4,Dockum,3080
641613,35.295,-101.881667,2.31,Loam,308,1,2,3,762,991,1219,0,33.5,0,25,30,35,0.5,0.75,1,4,9,14,0.14,0.17,0.19,0,39,0,28,34,40,12,17,22,0.32,0.32,0,0,0,7.4,7.6,7.8,488.987976,14.379999,Dockum,3035
642901,35.287778,-101.751389,0.8,Clay loam,258,3,4,5,823,1044,1265,25,34.700001,45,22,28.1,40,1.5,2.5,3,1.4,5.7,14,0.12,0.17,0.18,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.4,7.9,8.4,503.322998,14.219999,Dockum,3037
650814,35.146389,-101.814445,2.39,Clay loam,384,0,0.5,1,853,1128,1524,25,34.700001,45,27,28.1,40,1.5,2.5,3,1.4,5.7,14,0.12,0.17,0.18,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.4,7.9,8.4,494.407989,14.11,Dockum,2942
650902,35.146111,-101.759167,2.74,Clay loam,427,0,0.5,1,823,1128,1433,25,34.700001,45,22,28.1,40,1.5,2.5,3,1.4,5.7,14,0.12,0.17,0.18,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.4,7.9,8.4,500.608978,14.179999,Dockum,2943
651603,35.205278,-101.650834,3.7,Clay loam,280,0,0.5,1,853,1128,1524,25,34.700001,45,27,28.1,40,1.5,2.5,3,1.4,5.7,14,0.12,0.17,0.18,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.4,7.9,8.4,510.404999,14.21,Dockum,2991
657717,35.010834,-101.978333,1.955,Clay loam,510,0,0.5,2,670,1097,1433,30,41.200001,65,22,29.6,35,0.3,0.46,1,4,9,14,0.09,0.12,0.14,35,38,43,32,39,45,14,20,22,0.28,0.28,0,1,2,7.9,8.2,8.4,478.467987,14.42,Dockum,2846
658109,35.113334,-101.868333,2.863333,Fine sandy loam,435,1,2,3,853,1128,1402,55,68.300003,75,10,17.200001,20,0.5,0.8,1,14,28,42,0.1,0.14,0.16,38,44,48,22,29,33,6,11,14,0.2,0.2,0,0.1,2,7.4,8.1,8.4,487.365997,14.12,Dockum,2941
658702,35.027778,-101.845,3.35,Loam,278,0,2,3,792,1128,1615,32,44.700001,52,15,24.6,26,1.5,3.3,3.5,4,9,14,0.1,0.13,0.16,19,29,39,27,38,39,8,12,12,0.17,0.37,0,0.7,2,7.4,8,8.4,484.750977,14.37,Dockum,2847
